Date,Stock Price,Company
2024-10-09 00:00:00-04:00,590.0340576,META
2024-10-10 00:00:00-04:00,583.359436,META
2024-10-11 00:00:00-04:00,589.4745483,META
2024-10-14 00:00:00-04:00,589.9440918,META
2024-10-15 00:00:00-04:00,585.7974854,META
2024-10-16 00:00:00-04:00,576.3250732,META
2024-10-17 00:00:00-04:00,576.4650269,META
2024-10-18 00:00:00-04:00,576.0053711,META
2024-10-21 00:00:00-04:00,574.6964111,META
2024-10-22 00:00:00-04:00,581.5409546,META
2024-10-23 00:00:00-04:00,563.2356567,META
2024-10-24 00:00:00-04:00,567.3223877,META
2024-10-25 00:00:00-04:00,572.7879639,META
2024-10-28 00:00:00-04:00,577.6939697,META
2024-10-29 00:00:00-04:00,592.8018799,META
2024-10-30 00:00:00-04:00,591.322998,META
2024-10-31 00:00:00-04:00,567.1225586,META
2024-11-01 00:00:00-04:00,566.7028809,META
2024-11-04 00:00:00-05:00,560.2280884,META
2024-11-05 00:00:00-05:00,571.9686279,META
2024-11-06 00:00:00-05:00,571.5889282,META
2024-11-07 00:00:00-05:00,591.2231445,META
2024-11-08 00:00:00-05:00,588.8650513,META
2024-11-11 00:00:00-05:00,582.6999512,META
2024-11-12 00:00:00-05:00,584.3486328,META
2024-11-13 00:00:00-05:00,579.5325317,META
2024-11-14 00:00:00-05:00,576.6948242,META
2024-11-15 00:00:00-05:00,553.6334229,META
2024-11-18 00:00:00-05:00,553.953186,META
2024-11-19 00:00:00-05:00,560.6378174,META
2024-11-20 00:00:00-05:00,565.064209,META
2024-11-21 00:00:00-05:00,562.6361694,META
2024-11-22 00:00:00-05:00,558.6893921,META
2024-11-25 00:00:00-05:00,564.654541,META
2024-11-26 00:00:00-05:00,573.0776978,META
2024-11-27 00:00:00-05:00,568.741272,META
2024-11-29 00:00:00-05:00,573.8571167,META
2024-12-02 00:00:00-05:00,592.3522339,META
2024-12-03 00:00:00-05:00,613.1554565,META
2024-12-04 00:00:00-05:00,613.2853394,META
2024-12-05 00:00:00-05:00,608.439209,META
2024-12-06 00:00:00-05:00,623.2672729,META
2024-12-09 00:00:00-05:00,613.0755005,META
2024-12-10 00:00:00-05:00,618.8208618,META
2024-12-11 00:00:00-05:00,632.1700439,META
2024-12-12 00:00:00-05:00,630.2815552,META
2024-12-13 00:00:00-05:00,619.8499756,META
2024-12-16 00:00:00-05:00,624.2399902,META
2024-12-17 00:00:00-05:00,619.4400024,META
2024-12-18 00:00:00-05:00,597.1900024,META
2024-12-19 00:00:00-05:00,595.5700073,META
2024-12-20 00:00:00-05:00,585.25,META
2024-12-23 00:00:00-05:00,599.8499756,META
2024-12-24 00:00:00-05:00,607.75,META
2024-12-26 00:00:00-05:00,603.3499756,META
2024-12-27 00:00:00-05:00,599.8099976,META
2024-12-30 00:00:00-05:00,591.2399902,META
2024-07-30 00:00:00-04:00,622.5800171,NFLX
2024-07-31 00:00:00-04:00,628.3499756,NFLX
2024-08-01 00:00:00-04:00,624.8499756,NFLX
2024-08-02 00:00:00-04:00,613.6400146,NFLX
2024-08-05 00:00:00-04:00,598.5499878,NFLX
2024-08-06 00:00:00-04:00,609.5700073,NFLX
2024-08-07 00:00:00-04:00,611.4799805,NFLX
2024-08-08 00:00:00-04:00,630.3499756,NFLX
2024-08-09 00:00:00-04:00,633.9400024,NFLX
2024-08-12 00:00:00-04:00,633.1400146,NFLX
2024-08-13 00:00:00-04:00,648.0200195,NFLX
2024-08-14 00:00:00-04:00,661.6799927,NFLX
2024-08-15 00:00:00-04:00,663.2199707,NFLX
2024-08-16 00:00:00-04:00,674.0700073,NFLX
